Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,1.049500,1.049500,1.049500,1.049500,1.049500,0
2008-01-03,1.049900,1.049900,1.049900,1.049900,1.049900,0
2008-01-04,1.051000,1.051000,1.051000,1.051000,1.051000,0
2008-01-07,1.053000,1.053000,1.053000,1.053000,1.053000,0
2008-01-08,1.054500,1.054500,1.054500,1.054500,1.054500,0
2008-01-09,null,null,null,null,null,null
2008-01-11,1.057000,1.057000,1.057000,1.057000,1.057000,0
2008-01-14,1.056300,1.056300,1.056300,1.056300,1.056300,0
2008-01-15,1.059600,1.059600,1.059600,1.059600,1.059600,0
2008-01-16,1.058300,1.058300,1.058300,1.058300,1.058300,0
2008-01-17,1.058300,1.058300,1.058300,1.058300,1.058300,0
2008-01-18,1.058600,1.058600,1.058600,1.058600,1.058600,0
2008-01-21,1.058500,1.058500,1.058500,1.058500,1.058500,0
2008-01-22,null,null,null,null,null,null
2008-01-23,1.061200,1.061200,1.061200,1.061200,1.061200,0
2008-01-24,null,null,null,null,null,null
2008-01-25,1.061500,1.061500,1.061500,1.061500,1.061500,0
2008-01-28,1.062600,1.062600,1.062600,1.062600,1.062600,0
2008-01-29,1.063400,1.063400,1.063400,1.063400,1.063400,0
2008-01-30,1.063000,1.063000,1.063000,1.063000,1.063000,0
2008-01-31,1.064900,1.064900,1.064900,1.064900,1.064900,0
2008-02-04,1.065800,1.065800,1.065800,1.065800,1.065800,0
2008-02-05,1.065900,1.065900,1.065900,1.065900,1.065900,0
2008-02-06,null,null,null,null,null,null
2008-02-11,1.066700,1.066700,1.066700,1.066700,1.066700,0
2008-02-12,1.066000,1.066000,1.066000,1.066000,1.066000,0
2008-02-13,1.065900,1.065900,1.065900,1.065900,1.065900,0
2008-02-14,1.064100,1.064100,1.064100,1.064100,1.064100,0
2008-02-15,1.064200,1.064200,1.064200,1.064200,1.064200,0
2008-02-18,1.064800,1.064800,1.064800,1.064800,1.064800,0
2008-02-19,1.064400,1.064400,1.064400,1.064400,1.064400,0
2008-02-20,1.064000,1.064000,1.064000,1.064000,1.064000,0
2008-02-21,1.063900,1.063900,1.063900,1.063900,1.063900,0
2008-02-22,1.064000,1.064000,1.064000,1.064000,1.064000,0
2008-02-25,1.064700,1.064700,1.064700,1.064700,1.064700,0
2008-02-26,1.064900,1.064900,1.064900,1.064900,1.064900,0
2008-02-27,1.064400,1.064400,1.064400,1.064400,1.064400,0
2008-02-28,1.064300,1.064300,1.064300,1.064300,1.064300,0
2008-02-29,1.065100,1.065100,1.065100,1.065100,1.065100,0
2008-03-03,1.066100,1.066100,1.066100,1.066100,1.066100,0
2008-03-04,1.066200,1.066200,1.066200,1.066200,1.066200,0
2008-03-05,1.066600,1.066600,1.066600,1.066600,1.066600,0
2008-03-06,1.066500,1.066500,1.066500,1.066500,1.066500,0
2008-03-07,1.066300,1.066300,1.066300,1.066300,1.066300,0
2008-03-10,1.065000,1.065000,1.065000,1.065000,1.065000,0
2008-03-11,1.064600,1.064600,1.064600,1.064600,1.064600,0
2008-03-12,1.064800,1.064800,1.064800,1.064800,1.064800,0
2008-03-13,1.066100,1.066100,1.066100,1.066100,1.066100,0
2008-03-14,1.066300,1.066300,1.066300,1.066300,1.066300,0
2008-03-17,1.067300,1.067300,1.067300,1.067300,1.067300,0
2008-03-18,1.067600,1.067600,1.067600,1.067600,1.067600,0
2008-03-19,null,null,null,null,null,null
2008-03-21,1.068000,1.068000,1.068000,1.068000,1.068000,0
2008-03-24,1.065700,1.065700,1.065700,1.065700,1.065700,0
2008-03-25,1.066800,1.066800,1.066800,1.066800,1.066800,0
2008-03-26,1.067200,1.067200,1.067200,1.067200,1.067200,0
2008-03-27,1.067300,1.067300,1.067300,1.067300,1.067300,0
2008-03-28,1.066300,1.066300,1.066300,1.066300,1.066300,0
2008-03-31,1.066800,1.066800,1.066800,1.066800,1.066800,0
2008-04-01,1.065800,1.065800,1.065800,1.065800,1.065800,0
2008-04-02,1.066000,1.066000,1.066000,1.066000,1.066000,0
2008-04-03,1.066300,1.066300,1.066300,1.066300,1.066300,0
2008-04-04,1.065900,1.065900,1.065900,1.065900,1.065900,0
2008-04-07,1.066900,1.066900,1.066900,1.066900,1.066900,0
2008-04-08,1.066000,1.066000,1.066000,1.066000,1.066000,0
2008-04-09,1.066500,1.066500,1.066500,1.066500,1.066500,0
2008-04-10,1.068100,1.068100,1.068100,1.068100,1.068100,0
2008-04-11,1.067300,1.067300,1.067300,1.067300,1.067300,0
2008-04-14,1.067600,1.067600,1.067600,1.067600,1.067600,0
2008-04-15,1.067400,1.067400,1.067400,1.067400,1.067400,0
2008-04-16,1.067000,1.067000,1.067000,1.067000,1.067000,0
2008-04-17,1.066800,1.066800,1.066800,1.066800,1.066800,0
2008-04-18,1.067600,1.067600,1.067600,1.067600,1.067600,0
2008-04-21,1.067900,1.067900,1.067900,1.067900,1.067900,0
2008-04-22,1.068100,1.068100,1.068100,1.068100,1.068100,0
2008-04-23,1.068400,1.068400,1.068400,1.068400,1.068400,0
2008-04-24,1.068900,1.068900,1.068900,1.068900,1.068900,0
2008-04-25,1.069400,1.069400,1.069400,1.069400,1.069400,0
2008-04-28,1.068600,1.068600,1.068600,1.068600,1.068600,0
2008-04-29,1.069700,1.069700,1.069700,1.069700,1.069700,0
2008-04-30,1.068900,1.068900,1.068900,1.068900,1.068900,0
2008-05-02,1.070800,1.070800,1.070800,1.070800,1.070800,0
2008-05-05,1.069900,1.069900,1.069900,1.069900,1.069900,0
2008-05-06,1.070000,1.070000,1.070000,1.070000,1.070000,0
2008-05-07,1.070000,1.070000,1.070000,1.070000,1.070000,0
2008-05-08,1.069200,1.069200,1.069200,1.069200,1.069200,0
2008-05-09,1.070000,1.070000,1.070000,1.070000,1.070000,0
2008-05-12,1.068900,1.068900,1.068900,1.068900,1.068900,0
2008-05-13,1.069300,1.069300,1.069300,1.069300,1.069300,0
2008-05-14,1.069000,1.069000,1.069000,1.069000,1.069000,0
2008-05-15,1.067900,1.067900,1.067900,1.067900,1.067900,0
2008-05-16,null,null,null,null,null,null
2008-05-20,1.068200,1.068200,1.068200,1.068200,1.068200,0
2008-05-21,1.068700,1.068700,1.068700,1.068700,1.068700,0
2008-05-22,1.069400,1.069400,1.069400,1.069400,1.069400,0
2008-05-23,1.067600,1.067600,1.067600,1.067600,1.067600,0
2008-05-26,1.066700,1.066700,1.066700,1.066700,1.066700,0
2008-05-27,1.066500,1.066500,1.066500,1.066500,1.066500,0
2008-05-28,1.066600,1.066600,1.066600,1.066600,1.066600,0
2008-05-29,1.065500,1.065500,1.065500,1.065500,1.065500,0
2008-05-30,1.063800,1.063800,1.063800,1.063800,1.063800,0
2008-06-02,1.064400,1.064400,1.064400,1.064400,1.064400,0
2008-06-03,1.063400,1.063400,1.063400,1.063400,1.063400,0
2008-06-04,1.061100,1.061100,1.061100,1.061100,1.061100,0
2008-06-05,1.055000,1.055000,1.055000,1.055000,1.055000,0
2008-06-06,1.050100,1.050100,1.050100,1.050100,1.050100,0
2008-06-09,1.049900,1.049900,1.049900,1.049900,1.049900,0
2008-06-10,1.048500,1.048500,1.048500,1.048500,1.048500,0
2008-06-11,1.045300,1.045300,1.045300,1.045300,1.045300,0
2008-06-12,1.046500,1.046500,1.046500,1.046500,1.046500,0
2008-06-13,1.044500,1.044500,1.044500,1.044500,1.044500,0
2008-06-16,1.044400,1.044400,1.044400,1.044400,1.044400,0
2008-06-17,1.046800,1.046800,1.046800,1.046800,1.046800,0
2008-06-18,1.046700,1.046700,1.046700,1.046700,1.046700,0
2008-06-19,1.047500,1.047500,1.047500,1.047500,1.047500,0
2008-06-20,1.045400,1.045400,1.045400,1.045400,1.045400,0
2008-06-23,1.035300,1.035300,1.035300,1.035300,1.035300,0
2008-06-24,1.031800,1.031800,1.031800,1.031800,1.031800,0
2008-06-25,1.032800,1.032800,1.032800,1.032800,1.032800,0
2008-06-26,1.033800,1.033800,1.033800,1.033800,1.033800,0
2008-06-27,1.036600,1.036600,1.036600,1.036600,1.036600,0
2008-06-30,1.038300,1.038300,1.038300,1.038300,1.038300,0
2008-07-01,1.039600,1.039600,1.039600,1.039600,1.039600,0
2008-07-02,1.039700,1.039700,1.039700,1.039700,1.039700,0
2008-07-03,1.037900,1.037900,1.037900,1.037900,1.037900,0
2008-07-04,1.037900,1.037900,1.037900,1.037900,1.037900,0
2008-07-07,1.038000,1.038000,1.038000,1.038000,1.038000,0
